regional_bureau,country
RBA,guinea
RBA,guinea-bissau
RBA,mauritania
RBA,mozambique
RBA,nigeria
RBA,senegal
RBA,cameroon
RBA,mauritius (& seychelles)
RBA,angola
RBA,benin
RBA,burkina faso
RBA,cape verde
RBA,chad
RBA,congo
RBA,democratic republic congo
RBA,cote d'ivoire
RBA,eswatini
RBA,ethiopia
RBA,ghana
RBA,kenya
RBA,lesotho
RBA,malawi
RBA,mali
RBA,namibia
RBA,niger
RBA,rwanda
RBA,sierra leone
RBA,south africa
RBA,south sudan
RBA,tanzania
RBA,the gambia
RBA,togo
RBA,uganda
RBA,zambia
RBA,zimbabwe
RBAP,bhutan
RBAP,indonesia
RBAP,maldives
RBAP,mongolia
RBAP,myanmar
RBAP,thailand
RBAP,"samoa (& cook islands, niue, tokelau)"
RBAP,bangladesh
RBAP,cambodia
RBAP,india
RBAP,lao pdr
RBAP,malaysia
RBAP,nepal
RBAP,pacific-fiji
RBAP,pakistan
RBAP,philippines
RBAP,timor leste
RBAP,vietnam
RBAS,egypt
RBAS,syria
RBAS,saudi arabia (self starter)
RBAS,somalia
RBAS,algeria
RBAS,iraq
RBAS,jordan
RBAS,lebanon
RBAS,libya
RBAS,morocco
RBAS,palestine
RBAS,sudan
RBAS,tunisia
RBEC,"belarus, republic of"
RBEC,"georgia, republic of"
RBEC,kazakhstan
RBEC,kyrgyzstan
RBEC,north macedonia
RBEC,azerbaijan
RBEC,bosnia & herzegovina
RBEC,serbia
RBEC,turkey
RBEC,ukraine
RBEC,uzbekistan
RBLAC,bolivia
RBLAC,el salvador
RBLAC,guatemala
RBLAC,haiti
RBLAC,peru
RBLAC,uruguay
RBLAC,trinidad & tobago (guyana & suriname)
RBLAC,panama
RBLAC,argentina
RBLAC,barbados
RBLAC,colombia
RBLAC,dominican republic
RBLAC,ecuador
RBLAC,mexico
RBLAC,paraguay
