id,tag
4553,7
2261,1
5051,7
4537,9
1086,7
109,13
832,9
4374,5
4363,7
5085,7
2769,17
4553,11
5161,1
4548,7
4559,12
4765,6
4944,2
4770,7
4592,11
821,7
839,7
4066,11
1606,7
5076,7
4743,13
4374,7
4017,7
4371,7
4904,4
4772,10
4590,9
1554,11
4751,2
1784,2
4751,1
4673,11
3121,11
1024,11
4562,11
4012,11
2685,7
2739,7
4646,11
4683,11
4779,11
4924,7
5159,12
4835,1
4644,7
5078,7
4837,2
4701,2
1595,9
4590,11
4770,11
4905,7
837,9
5374,11
474,1
1747,15
5161,5
2261,7
4353,7
4928,4
1595,11
5376,7
4669,12
5375,12
1678,7
4675,7
1118,13
4697,7
1118,11
4564,15
4651,7
4796,13
2119,11
4796,9
3160,7
4780,9
4665,9
1780,12
4014,11
5020,7
4999,7
4677,7
5120,13
4940,7
3854,11
3854,16
3414,12
146,9
4971,11
4784,6
4630,13
5202,13
4374,8
4678,12
2529,10
795,13
4669,11
3369,9
4013,12
5122,5
1822,12
5160,9
3423,13
2703,9
4670,6
4358,3
2510,1
4751,7
4688,7
4948,7
19,7
4925,7
4923,7
4922,7
5089,7
4384,9
3924,11
3160,12
5122,13
1822,13
4792,7
4359,13
4742,11
4952,7
1784,5
4938,7
4644,11
5374,12
5164,11
4675,13
4675,12
1810,1
4772,11
4361,7
3414,9
5028,7
4551,7
4905,4
2993,7
4799,13
4751,8
4799,7
3458,1
1758,7
4686,2
4654,7
4537,7
4942,7
4066,13
4688,13
4770,10
1163,7
5064,7
5075,7
4899,7
5156,7
2103,8
2851,7
4013,3
4900,7
4346,8
840,13
4701,11
4633,11
834,7
23,7
4355,7
5084,7
1560,7
3414,7
3749,12
4924,12
4766,10
4940,6
4924,5
5376,12
5019,9
5041,9
1139,1
5343,7
5087,7
4694,7
5113,7
4371,3
5083,7
4972,12
5319,12
1648,11
5161,13
3236,13
4680,12
2510,2
4661,3
4928,7
4795,13
4825,7
2118,13
4971,5
5202,2
4630,12
2769,2
1160,11
5161,9
4670,7
3829,7
4769,10
140,12
2359,15
4822,7
5111,2
5048,13
4670,11
5319,3
1113,9
4701,3
4926,7
5092,7
4816,7
4662,13
2119,7
4352,3
5020,11
4784,7
4743,11
1810,7
776,11
5040,12
2685,9
4907,7
4950,7
4780,4
4559,7
4371,13
4769,11
2100,7
42,7
4672,6
4834,7
42,2
4961,7
1133,7
4385,7
1560,14
5086,7
1128,1
3176,10
4673,7
4751,5
5042,12
152,13
5079,7
4972,7
4905,10
1045,8
4976,7
42,13
4675,2
4944,3
2769,7
4789,7
5052,7
4668,11
163,7
4017,13
2683,12
5299,7
5020,9
5142,12
5080,7
4511,4
2103,2
4552,9
4902,7
1024,9
4644,10
4769,9
4748,7
2080,7
3829,3
5073,7
5067,7
4667,9
4773,9
149,7
1139,7
4687,7
836,9
2847,3
4835,3
2690,7
4562,10
832,13
4687,11
4548,11
5375,11
4551,9
1139,3
2099,7
3458,13
5041,13
4562,7
1747,5
4923,8
2119,9
4589,9
4977,11
3458,3
3029,9
4922,3
834,13
4665,11
5051,12
990,13
4907,9
4789,12
4771,7
1810,8
5048,8
4780,11
1685,7
3423,12
20,7
1747,7
4552,11
3458,12
4645,7
5151,7
824,9
4679,7
836,7
2143,9
2099,10
4679,11
4773,7
2242,3
5090,7
4384,7
4977,7
2103,7
139,9
4772,5
5120,2
2261,11
4012,7
3177,7
5142,7
795,15
4564,13
2183,11
5202,3
3854,13
1738,13
2261,9
5037,9
4667,11
1118,7
4972,11
4784,12
4014,7
4683,2
5028,11
1097,13
4823,7
3177,1
4346,13
1157,7
1139,10
4364,13
2683,9
2529,3
4551,10
4548,10
3100,1
4562,9
4837,3
5151,3
803,9
2690,9
4646,9
21,7
4346,2
4355,6
2690,12
5164,12
4645,11
5091,7
4672,7
4559,9
3177,13
5202,7
1606,2
2242,11
5160,13
781,7
2848,7
4951,7
3236,12
4835,8
5111,10
4509,10
1822,1
1139,9
5040,7
1784,4
4546,10
5376,11
5343,12
4688,9
4671,7
803,7
4701,13
4592,7
1595,13
4744,9
4904,7
4546,11
4899,12
4358,11
5070,7
2690,11
1554,12
1097,7
5037,13
4682,7
2080,9
76,11
4766,7
2510,8
4901,7
5019,8
5111,7
933,13
4012,3
4939,7
4799,12
4667,7
4012,13
4742,7
1112,9
3832,7
4973,11
5065,7
4796,7
4940,11
1024,7
4839,7
4682,13
3176,12
1045,7
2136,12
4358,7
4959,7
5048,7
2100,11
4678,7
2314,6
5040,13
4066,3
1648,9
4744,7
4592,9
840,2
109,9
4552,7
1795,7
4630,7
4553,10
2848,3
4907,11
3472,3
4662,7
2535,11
4829,7
1606,3
2100,13
4974,15
4806,7
4362,13
4899,1
4664,7
3749,7
4819,7
3369,13
840,7
2847,2
5319,15
5113,12
140,11
5060,7
4792,3
839,9
4548,9
5164,4
4509,11
4661,9
5019,12
4974,12
146,11
5374,7
1045,9
4772,9
795,9
4669,9
2359,13
4976,10
4677,11
781,10
4645,9
2529,7
4013,13
2136,13
3236,7
4839,8
5055,7
817,6
4795,7
4359,3
3924,7
3176,13
4683,7
4682,9
3423,7
4779,9
152,7
4839,9
3829,8
4551,11
4510,10
803,13
4820,7
4665,7
4926,6
4769,7
4806,13
5162,12
4827,7
839,13
1112,14
2100,10
4792,9
5159,13
4384,11
4668,7
1784,11
22,7
2080,11
4795,3
1738,12
4742,10
817,11
4771,11
2507,7
4352,13
4766,9
4644,9
3240,13
1756,7
4014,13
5122,7
4590,7
4680,11
3414,8
4017,3
4927,7
2287,8
5377,11
151,11
4364,3
